pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a02_s1_neutral_angry,2,1,neutral,angry,16,-1.40625,-1.3046875,-1.3359375,-1.1796875,0.12890625,0.09765625,0.0546875
a02_s1_neutral_angry,2,1,neutral,angry,17,-1.396484375,-0.4296875,-1.1796875,-0.25,0.9482421875,0.1982421875,-0.037109375
a02_s1_neutral_angry,2,1,neutral,angry,18,0.390625,1.015625,0.421875,0.84375,0.5234375,-0.0703125,-0.203125
a02_s1_neutral_angry,2,1,neutral,angry,19,-0.765625,-0.302734375,-0.7265625,-0.38671875,0.4013671875,-0.0224609375,-0.123046875
a02_s1_neutral_angry,2,1,neutral,angry,20,-3.0625,-1.8359375,-3.1171875,-2.14453125,1.099609375,-0.181640625,-0.25390625
a02_s1_neutral_angry,2,1,neutral,angry,21,-2.26953125,-1.66552734375,-2.25,-1.904296875,0.474853515625,-0.109619140625,-0.25830078125
a02_s1_neutral_angry,2,1,neutral,angry,22,-2.734375,-1.52734375,-2.83203125,-2.0078125,1.015625,-0.2890625,-0.3828125
a02_s1_neutral_angry,2,1,neutral,angry,23,-3.74609375,-1.537109375,-3.5820322036743164,-2.490234375,1.6503911018371582,-0.3945317268371582,-1.1171865463256836
a02_s1_neutral_angry,2,1,neutral,angry,24,-3.921875,-2.4765625,-3.4296875,-4.07421875,0.400390625,-0.552734375,-2.08984375
a02_s1_neutral_angry,2,1,neutral,angry,25,-3.8125,-1.90625,-3.1953125,-2.59375,1.25390625,-0.03515625,-1.3046875
a02_s1_neutral_angry,2,1,neutral,angry,26,-4.421874523162842,-1.0312504768371582,-3.5986328125,-2.03125,2.479003429412842,-0.08837890625,-1.8232412338256836
a02_s1_neutral_angry,2,1,neutral,angry,27,-3.1328125,-1.0624995231628418,-2.468749523162842,-1.46875,1.53515625,0.12890625,-1.0703134536743164
a02_s1_neutral_angry,2,1,neutral,angry,28,-1.75,-0.875,-1.4375,-1.0,0.65625,0.09375,-0.4375
a02_s2_happy_sad,2,2,happy,sad,0,2.3046875,2.3046875,2.3046875,2.3046875,0.0,0.0,0.0
a02_s2_happy_sad,2,2,happy,sad,1,-0.1015625,-0.0234375,-0.234375,-0.078125,0.1171875,-0.09375,0.078125
a02_s2_happy_sad,2,2,happy,sad,2,-0.4453125,-0.32421875,-0.56640625,-0.443359375,0.1220703125,-0.1201171875,0.001953125
a02_s2_happy_sad,2,2,happy,sad,3,-0.6484384536743164,-0.4765625,-0.7421884536743164,-0.5703125,0.1718759536743164,-0.09375,0.0
a02_s2_happy_sad,2,2,happy,sad,4,-0.640625,-0.265625,-0.65625,-0.3125,0.359375,-0.03125,-0.03125
a02_s2_happy_sad,2,2,happy,sad,5,-1.0,-0.6875,-1.203125,-0.796875,0.359375,-0.15625,0.09375
a02_s2_happy_sad,2,2,happy,sad,6,-2.03125,-1.65625,-2.125,-1.6875,0.40625,-0.0625,0.0625
a02_s2_happy_sad,2,2,happy,sad,7,-0.9375,-0.5625,-0.96875,-0.65625,0.34375,-0.0625,-0.0625
a02_s2_happy_sad,2,2,happy,sad,8,-1.53125,-0.9375,-1.65625,-1.0625,0.59375,-0.125,0.0
a02_s2_happy_sad,2,2,happy,sad,9,0.390625,0.953125,0.46875,0.96875,0.53125,0.046875,-0.0625
a02_s2_happy_sad,2,2,happy,sad,10,-1.375,-1.671875,-1.4453125,-1.75,-0.30078125,-0.07421875,-0.0078125
a02_s2_happy_sad,2,2,happy,sad,11,-1.5,-1.125,-1.6562509536743164,-1.203125,0.4140629768371582,-0.1171879768371582,0.0781259536743164
a02_s2_happy_sad,2,2,happy,sad,12,-2.0625,-1.875,-2.328125,-2.0,0.2578125,-0.1953125,0.140625
a02_s2_happy_sad,2,2,happy,sad,13,-2.765625,-1.828125,-2.546875,-1.640625,0.921875,0.203125,-0.03125
a02_s2_happy_sad,2,2,happy,sad,14,-1.9375009536743164,-1.0625,-1.7578125,-0.9687509536743164,0.83203125,0.13671875,-0.08593940734863281
a02_s2_happy_sad,2,2,happy,sad,15,-0.5234375,-0.453125,-0.7265625,-0.453125,0.171875,-0.1015625,0.203125
a02_s2_happy_sad,2,2,happy,sad,16,-2.240234375,-2.6855459213256836,-1.9873046875,-2.443359375,-0.4506831169128418,0.2475581169128418,-0.010743141174316406
a02_s2_happy_sad,2,2,happy,sad,17,-1.95703125,-2.55126953125,-2.078125,-2.188232421875,-0.3521728515625,0.1209716796875,0.484130859375
