pair_id,actor,statement,label_a,label_b,AA,AB,BA,BB,ME_C,ME_D,interaction
a04_s1_happy_sad,4,1,happy,sad,-1.1875,-0.8125,-1.3125,-0.9375,0.375,-0.125,0.0
a04_s1_happy_angry,4,1,happy,angry,-1.4375,-1.062500238418579,-1.25,-1.125,0.24999988079071045,0.06250011920928955,-0.2499997615814209
a04_s1_sad_angry,4,1,sad,angry,-0.125,-0.625,-0.75,-0.625,-0.1875,-0.3125,0.625
a04_s2_neutral_happy,4,2,neutral,happy,0.375,0.4375,0.1875,0.75,0.3125,0.0625,0.5
a04_s2_neutral_sad,4,2,neutral,sad,-0.4375,-0.4375,0.0625,-0.4375,-0.25,0.25,-0.5
a04_s2_neutral_angry,4,2,neutral,angry,0.9375,-0.1875,0.25,-0.1875,-0.78125,-0.34375,0.6875
a04_s2_happy_sad,4,2,happy,sad,-0.5625,-0.8125,-0.6875,-0.8125,-0.1875,-0.0625,0.125
a04_s2_happy_angry,4,2,happy,angry,-0.375,-0.4375,-0.3125,-0.5,-0.125,0.0,-0.125
a04_s2_sad_angry,4,2,sad,angry,0.5625,0.3125,0.3125,-0.0625,-0.3125,-0.3125,-0.125
a05_s1_neutral_happy,5,1,neutral,happy,0.0,0.0,-0.125,0.1875,0.15625,0.03125,0.3125
a05_s1_neutral_sad,5,1,neutral,sad,-0.6875,-1.125,-0.6875,-0.8125,-0.28125,0.15625,0.3125
a05_s1_neutral_angry,5,1,neutral,angry,-1.3125,-2.4375,-1.75,-3.5625,-1.46875,-0.78125,-0.6875
a05_s1_happy_sad,5,1,happy,sad,-0.4375,-0.5,-0.4375,-0.625,-0.125,-0.0625,-0.125
a05_s1_happy_angry,5,1,happy,angry,-0.875,-1.8125,-1.0,-2.5625,-1.25,-0.4375,-0.625
a05_s1_sad_angry,5,1,sad,angry,-0.5625,-1.3125,-0.75,-1.875,-0.9375,-0.375,-0.375
a05_s2_neutral_happy,5,2,neutral,happy,-0.125,0.125,-0.0625,0.5625,0.4375,0.25,0.375
