system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
full_sequence_adapter_layer22,20260904,False,COSY,acoustic_correct,0.7788461538461539,0.7244897959183674,0.8372093023255814,104
full_sequence_adapter_layer22,20260904,False,COSY,semantic_follow,0.7788461538461539,0.7244897959183674,0.8372093023255814,104
full_sequence_adapter_layer22,20260904,False,COSY,other,0.22115384615384615,0.16279069767441862,0.2755102040816326,104
full_sequence_adapter_layer22,20260904,False,COSY,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260904,False,F5TTS,acoustic_correct,0.8653846153846154,0.8,0.9363636363636364,104
full_sequence_adapter_layer22,20260904,False,F5TTS,semantic_follow,0.8653846153846154,0.8,0.9363636363636364,104
full_sequence_adapter_layer22,20260904,False,F5TTS,other,0.1346153846153846,0.06363636363636363,0.2,104
full_sequence_adapter_layer22,20260904,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260904,False,STYLE,acoustic_correct,0.7788461538461539,0.7142857142857143,0.8478260869565217,104
full_sequence_adapter_layer22,20260904,False,STYLE,semantic_follow,0.7788461538461539,0.7142857142857143,0.8478260869565217,104
full_sequence_adapter_layer22,20260904,False,STYLE,other,0.22115384615384615,0.15217391304347827,0.2857142857142857,104
full_sequence_adapter_layer22,20260904,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260904,True,COSY,acoustic_correct,0.483974358974359,0.43410852713178294,0.5287356321839081,312
full_sequence_adapter_layer22,20260904,True,COSY,semantic_follow,0.3141025641025641,0.26822633605072466,0.37745098039215685,312
full_sequence_adapter_layer22,20260904,True,COSY,other,0.20192307692307693,0.15884114583333334,0.23744947226588806,312
full_sequence_adapter_layer22,20260904,True,COSY,acoustic_margin,0.8343349317743932,0.251124918075972,1.2734407047597032,312
full_sequence_adapter_layer22,20260904,True,F5TTS,acoustic_correct,0.40064102564102566,0.3231292517006803,0.4609375,312
full_sequence_adapter_layer22,20260904,True,F5TTS,semantic_follow,0.47435897435897434,0.40064102564102566,0.5737179487179487,312
full_sequence_adapter_layer22,20260904,True,F5TTS,other,0.125,0.08333333333333333,0.15942028985507245,312
full_sequence_adapter_layer22,20260904,True,F5TTS,acoustic_margin,-0.5418669858369797,-1.2224521808989444,-0.02603929586765966,312
full_sequence_adapter_layer22,20260904,True,STYLE,acoustic_correct,0.5608974358974359,0.5128205128205128,0.6090935214211076,312
full_sequence_adapter_layer22,20260904,True,STYLE,semantic_follow,0.30128205128205127,0.25961538461538464,0.3541666666666667,312
full_sequence_adapter_layer22,20260904,True,STYLE,other,0.13782051282051283,0.10077519379844961,0.17028985507246377,312
full_sequence_adapter_layer22,20260904,True,STYLE,acoustic_margin,1.3643830198278197,0.8941369905356821,1.7714023298808974,312
full_sequence_adapter_layer22,20260905,False,COSY,acoustic_correct,0.75,0.7014925373134329,0.8076923076923077,104
full_sequence_adapter_layer22,20260905,False,COSY,semantic_follow,0.75,0.7014925373134329,0.8076923076923077,104
full_sequence_adapter_layer22,20260905,False,COSY,other,0.25,0.19230769230769232,0.29850746268656714,104
full_sequence_adapter_layer22,20260905,False,COSY,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260905,False,F5TTS,acoustic_correct,0.8461538461538461,0.7755102040816326,0.918918918918919,104
full_sequence_adapter_layer22,20260905,False,F5TTS,semantic_follow,0.8461538461538461,0.7755102040816326,0.918918918918919,104
full_sequence_adapter_layer22,20260905,False,F5TTS,other,0.15384615384615385,0.08108108108108109,0.22448979591836735,104
full_sequence_adapter_layer22,20260905,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260905,False,STYLE,acoustic_correct,0.7403846153846154,0.6630434782608695,0.8260869565217391,104
full_sequence_adapter_layer22,20260905,False,STYLE,semantic_follow,0.7403846153846154,0.6630434782608695,0.8260869565217391,104
full_sequence_adapter_layer22,20260905,False,STYLE,other,0.25961538461538464,0.17391304347826086,0.33695652173913043,104
full_sequence_adapter_layer22,20260905,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260905,True,COSY,acoustic_correct,0.46153846153846156,0.41472868217054265,0.5034013605442177,312
full_sequence_adapter_layer22,20260905,True,COSY,semantic_follow,0.28205128205128205,0.23497267759562843,0.35034013605442177,312
full_sequence_adapter_layer22,20260905,True,COSY,other,0.2564102564102564,0.20430107526881722,0.2959198334506216,312
full_sequence_adapter_layer22,20260905,True,COSY,acoustic_margin,0.813301288561585,0.3097328553291635,1.171795823984954,312
full_sequence_adapter_layer22,20260905,True,F5TTS,acoustic_correct,0.375,0.3083242753623189,0.4303030303030303,312
full_sequence_adapter_layer22,20260905,True,F5TTS,semantic_follow,0.4807692307692308,0.4121212121212121,0.5737428160919537,312
full_sequence_adapter_layer22,20260905,True,F5TTS,other,0.14423076923076922,0.10144927536231885,0.1787878787878788,312
full_sequence_adapter_layer22,20260905,True,F5TTS,acoustic_margin,-0.4625400621589506,-1.091345841656999,0.006070074578976318,312
full_sequence_adapter_layer22,20260905,True,STYLE,acoustic_correct,0.5480769230769231,0.5041666666666667,0.5901639344262295,312
full_sequence_adapter_layer22,20260905,True,STYLE,semantic_follow,0.28525641025641024,0.24316939890710382,0.34057971014492755,312
full_sequence_adapter_layer22,20260905,True,STYLE,other,0.16666666666666666,0.11904761904761904,0.20689655172413793,312
full_sequence_adapter_layer22,20260905,True,STYLE,acoustic_margin,1.4429086630399792,1.0356632658908864,1.7814932414660054,312
ordinary_lora_layer22,20260903,False,COSY,acoustic_correct,0.8076923076923077,0.7346938775510204,0.875,104
ordinary_lora_layer22,20260903,False,COSY,semantic_follow,0.8076923076923077,0.7346938775510204,0.875,104
ordinary_lora_layer22,20260903,False,COSY,other,0.19230769230769232,0.125,0.2653061224489796,104
ordinary_lora_layer22,20260903,False,COSY,acoustic_margin,0.0,0.0,0.0,104
ordinary_lora_layer22,20260903,False,F5TTS,acoustic_correct,0.9230769230769231,0.880406671664168,0.9651263031275059,104
ordinary_lora_layer22,20260903,False,F5TTS,semantic_follow,0.9230769230769231,0.880406671664168,0.9651263031275059,104
